;AP;num_employees;num_firms
846;3304557999110;5749.0;383
847;3304557999111;4866.0;407
848;3304557999112;2543.0;246
849;3304557999113;669.0;124
850;3304557999114;8171.0;563
851;3304557999115;2183.0;277
852;3304557999116;6530.5;772
853;3304557999117;2491.0;475
854;3304557999118;4740.0;585
855;3304557999119;12290.0;959
856;3304557999120;5876.0;452
857;3304557999121;2462.0;313
858;3304557999122;4186.0;537
859;3304557999123;1949.0;273
860;3304557999124;9193.0;946
861;3304557999125;2877.0;196
862;3304557999126;1442.0;239
863;3304557999127;337.0;40
864;3304557999128;433.0;82
865;3304557999129;693.0;130
866;3304557999130;2222.0;166
867;3304557999131;455.0;62
868;3304557999132;8442.0;1906
869;3304557999133;2712.0;236
870;3304557999134;1551.0;252
871;3304557999135;921.0;137
872;3304557999136;14406.0;827
873;3304557999137;2571.0;445
874;3304557999138;573.0;19
875;3304557999139;5365.0;578
876;3304557999140;1734.0;140
877;3304557999141;14561.5;975
878;3304557999142;389.0;88
879;3304557999143;4057.0;371
880;3304557999144;480.0;58
881;3304557999145;1055.0;158
882;3304557999146;6187.0;281
883;3304557999147;4357.0;409
884;3304557999148;5076.0;416
885;3304557999149;660.0;58
886;3304557999150;3053.0;611
887;3304557999151;4224.0;89
888;3304557999152;2303.0;264
889;3304557999153;22601.0;1689
890;3304557999154;2821.0;397
891;3304557999155;17778.0;1583
892;3304557999156;1790.0;226
893;3304557999157;9690.0;1361
894;3304557999158;13196.0;1717
895;3304557999159;23356.0;2359
896;3304557999160;4377.0;622
897;3304557999161;2401.0;337
898;3304557999162;1017.0;102
899;3304557999163;1027.0;96
900;3304557999164;1544.0;124
901;3304557999165;5891.0;490
902;3304557999166;6794.0;394
903;3304557999167;10190.0;1634
904;3304557999168;907.0;155
905;3304557999169;3873.0;613
906;3304557999170;524.0;115
907;3304904001001;817.0;120
908;3304904001002;587.0;73
909;3304904001003;640.0;72
910;3304904001004;125.0;33
911;3304904001005;1357.0;117
912;3304904001006;358.0;64
913;3304904001007;400.0;74
914;3304904001008;2979.0;458
915;3304904001009;710.0;81
916;3304904001010;6947.0;874
917;3304904001011;629.0;91
918;3304904001012;80.0;15
919;3304904001013;3748.0;389
920;3304904001014;3734.0;192
921;3304904001015;3046.0;549
922;3304904001016;650.0;66
923;3304904001017;117.0;24
924;3304904001018;233.0;51
925;3304904002001;402.0;83
926;3304904002002;931.0;111
927;3304904002003;1784.0;135
928;3304904002004;91.0;35
929;3304904002005;995.0;52
930;3304904002006;511.0;71
931;3304904002007;266.0;26
932;3304904002008;1109.0;179
933;3304904003001;714.0;61
934;3304904003002;376.0;71
935;3304904003003;1481.0;189
936;3304904003004;1415.0;138
937;3304904003005;633.0;46
938;3304904003006;5.0;2
939;3304904003007;426.0;61
940;3304904003008;507.0;48
941;3304904003009;308.0;49
942;3304904004001;2854.0;210
943;3304904004002;1062.0;87
944;3304904004003;812.0;126
945;3304904004004;1219.0;141
