AREAP;num_employees_clt;num_firms
2204907001001;237;11
2205003001001;348;13
2205102001001;504;48
2205151001001;232;5
2205201001001;614;56
2205250001001;204;7
2205276001001;236;6
2205300001001;289;14
2205359001001;152;2
2205409001001;363;27
2205458001001;139;2
2205508003001;890;22
2205508003002;531;118
2205516001001;240;14
2205524001001;296;6
2205532001001;187;7
2205540001001;92;7
2205557001001;258;18
2205565001001;211;6
2205573001001;456;10
2205581001001;283;8
2205599001001;231;8
2205607001001;279;9
2205706001001;2919;165
2205805001001;1114;72
2205854001001;338;11
2205904001001;242;14
2205953001001;296;15
2206001001001;190;12
2206050001001;257;5
2206100001001;452;23
2206209001001;1137;38
2206308001001;108;4
2206357001001;201;6
2206407001001;544;27
2206506001001;8934331326;17
2206605001001;613;45
2206654001001;212;8
2206670001001;298;5
2206696001001;247;7
2206704001001;160;16
2206720001001;272;11
2206753001001;206;9
2206803001001;211;10
2206902001001;219;11
2206951001001;18;8
2207009003001;9;2
2207009003002;2039;284
2207108001001;76;3
2207207001001;174;22
2207306001001;188;14
2207355001001;78;4
2207405001001;224;21
2207504001001;454;20
2207553001001;137;2
2207603001001;441;25
2207702003001;2233;389
2207702003002;5104;673
2207702003003;1470;126
2207702003004;4555;322
2207702003005;1003;138
2207751001001;125;3
2207777001001;7;4
2207793001001;85;2
2207801001001;867;83
2207850001001;164;8
2207900003001;1741;138
2207900003002;2;2
2207934001001;137;3
2207959001001;163;4
2208007003001;3693;310
2208007003002;678;103
2208007003003;6001;676
2208106001001;512;20
2208205001001;899;37
2208304001001;1064;143
2208403003001;33;14
2208403003002;8632765991;370
2208403003003;468;82
2208502001001;419;20
2208551001001;179;7
2208601001001;124;10
2208650001001;306;20
2208700001001;371;14
2208809001001;1055;47
2208858001001;172;2
2208874001001;126;5
2208908001001;247;25
2209005001001;304;22
2209104001001;270;27
2209153001001;187;5
2209203001001;143;26
2209302001001;252;12
2209351001001;153;6
2209377001001;192;19
2209401001001;103;11
2209450001001;67;3
2209500001001;176;6
2209559001001;153;8
2209609001001;138;9
2209658001001;290;7
2209708001001;356;10
2209757001001;162;7
2209807001001;201;11
2209856001001;170;11
2209872001001;257;8
2209906001001;368;10
2209955001001;7;4
2209971001001;315;8
2210003001001;949;144
2210052001001;291;16
2210102001001;219;8
2210201001001;252;18
2210300001001;238;8
2210359001001;207;7
2210375001001;107;3
2210383001001;152;5
2210391001001;130;4
2210409001001;622;35
2210508001001;687;32
2210607003001;59;11
2210607003002;2332;288
2210623001001;128;4
2210631001001;272;8
2210656001001;370;10
2210706001001;521;19
2210805001001;514;73
2210904001001;207;7
2210938001001;269;13
2210953001001;133;3
2210979001001;190;7
2211001003001;20131;857
2211001003002;1593;123
2211001003003;902;106
2211001003004;4358;200
2211001003005;12519;577
2211001003006;8632178022;515
2211001003007;8540134635;625
2211001003008;909;90
2211001003009;56617;826
2211001003010;10066;723
2211001003011;17262968111;997
2211001003012;17264598326;3194
2211001003013;1705;154
2211001003014;1135;151
2211001003015;1615;162
2211001003016;26320;1803
2211100003001;169;13
2211100003002;2910;149
2211209001001;2209;259
2211308001001;1434;168
2211357001001;1;1
2211407001001;191;15
2211506001001;130;3
2211605001001;114;3
2211704001001;182;4
2300101001001;648;16
2300150001001;8533322638;83
2300200003001;1748;12
2300200003002;1236;132
2300309003001;2720;173
2300408001001;503;16
2300507001001;721;10
2300606001001;497;21
2300705001001;1116;44
2300754003001;11;6
2300754003002;8836363731;37
